Parque Ecológico Zona 1, 19.023934964947465, -98.19086182319907
Parque Ecológico Zona 2, 19.02645263253028, -98.18615931766742
Centro de Convenciones, 19.043288, -98.191392
Zona Los Fuertes, 19.057078, -98.183774
Centro Expositor, 19.059195795750288, -98.18113773541947
Mercedes-Benz, 19.015830605910985, -98.25505568911856
Tesla Charger - Solesta, 19.037843139644565, -98.22920118256935
Chevrolet, 19.02163244026228, -98.25267738876323
Tesla Charger - Angelopolis, 19.013140490360847, -98.24553245644337
Tesla Charger - Animas, 19.050579007621728, -98.23450884657841
Tesla Charger - Analco, 19.040263080452775, -98.18920286277289
Tesla Charger - Ikea, 19.027432446573208, -98.23637255184909
Tesla Charger - Centro, 19.04616300185802, -98.18942555533113
Tesla Charger - Convento, 19.045596717489577, -98.18925990138358
Tesla Charger - Triangulo, 19.043126732422195, -98.23628403630079
BMW Station, 19.034603796048074, -98.22919598684334
